n_qubits,layers,t_density,expected_t_gates,repeat,circuit_seed,task,global_p2_estimate,global_k90_estimate,task_p2,exp_task_p2,k50,k90,k95,k90_lower_bound,k90_over_exp_p2,terminal_support,labels_requested,labels_used,capped_labels,avg_terminal_terms
8,5,0.3,12.0,9,592416358402000030,transported_local_z,3.3008970878880364,1798,1.0122419862635126,2.751763520322472,9,68,88,2.2289284514612024,24.71142578125,121,8,8,0,15.125
8,5,0.3,12.0,9,592416358402000030,all_pauli,3.3008970878880364,1798,3.1710441538770517,23.832356016182555,327,1610,1978,19.30420837310787,67.55521774291992,2832,24,24,0,118.0
8,5,0.3,12.0,10,463611901775544571,local_z,1.7810745691280385,300,0.6179237593223578,1.855072463768116,6,16,18,1.502608695652174,8.625,21,8,8,0,2.625
8,5,0.3,12.0,10,463611901775544571,local_transverse,1.7810745691280385,300,0.7009903580209712,2.015748031496063,13,32,35,1.632755905511811,15.875,40,16,16,0,2.875
8,5,0.3,12.0,10,463611901775544571,hamiltonian_terms,1.7810745691280385,300,0.9887974226609031,2.6879999999999997,25,64,72,2.17728,23.809523809523814,80,21,21,0,3.8095238095238093
8,5,0.3,12.0,10,463611901775544571,transported_local_z,1.7810745691280385,300,0.8817383503674954,2.4150943396226414,7,23,26,1.9562264150943396,9.5234375,29,8,8,0,3.625
8,5,0.3,12.0,10,463611901775544571,all_pauli,1.7810745691280385,300,1.7839773287860001,5.953488372093023,60,195,233,4.822325581395349,32.75390625,303,24,24,0,12.625
8,5,0.3,12.0,11,223183440528663957,local_z,2.0012786044759814,330,0.808978996085067,2.245614035087719,7,19,21,1.8189473684210526,8.4609375,24,8,8,0,3.0
8,5,0.3,12.0,11,223183440528663957,local_transverse,2.0012786044759814,330,1.0650037486661563,2.9008498583569406,18,65,78,2.349688385269122,22.4072265625,98,16,16,0,7.4375
8,5,0.3,12.0,11,223183440528663957,hamiltonian_terms,2.0012786044759814,330,1.144866608310792,3.1420222092343657,25,103,120,2.5450379894798365,32.781436011904766,160,21,21,0,7.619047619047619
